Date,Location,Temp_C
1800-12-01,Chicago,2.2840000000000003
1801-01-01,Chicago,-0.504
1801-02-01,Chicago,-0.16
1801-03-01,Chicago,4.843
1801-04-01,Chicago,6.386
1801-05-01,Chicago,13.318
1801-06-01,Chicago,17.162
1801-07-01,Chicago,22.655
1801-08-01,Chicago,21.776
1801-09-01,Chicago,19.101
1801-10-01,Chicago,12.498
1801-11-01,Chicago,6.106
1801-12-01,Chicago,2.419
1802-01-01,Chicago,1.9960000000000004
1802-02-01,Chicago,0.1389999999999999
1802-03-01,Chicago,4.045
1802-04-01,Chicago,7.318
1802-05-01,Chicago,10.807
1802-06-01,Chicago,18.492
1802-07-01,Chicago,22.365
1802-08-01,Chicago,23.015
1802-09-01,Chicago,18.906
1802-10-01,Chicago,13.630999999999998
1802-11-01,Chicago,6.481
1802-12-01,Chicago,0.7240000000000001
1803-01-01,Chicago,-1.71
1803-02-01,Chicago,-0.162
1803-03-01,Chicago,2.92
1803-04-01,Chicago,8.132
1803-05-01,Chicago,11.392
1803-06-01,Chicago,18.309
1803-07-01,Chicago,23.168000000000003
1803-08-01,Chicago,23.817
1803-09-01,Chicago,18.648
1803-10-01,Chicago,13.015999999999998
1803-11-01,Chicago,6.06
1803-12-01,Chicago,2.114
1804-01-01,Chicago,-1.5619999999999998
1804-02-01,Chicago,-0.5529999999999999
1804-03-01,Chicago,2.212
1804-04-01,Chicago,7.875
1804-05-01,Chicago,12.754
1804-06-01,Chicago,17.979
1804-07-01,Chicago,23.024
1804-08-01,Chicago,23.286
1804-09-01,Chicago,20.008
1804-10-01,Chicago,12.473
1804-11-01,Chicago,7.5379999999999985
1804-12-01,Chicago,-0.0769999999999999
1805-01-01,Chicago,-1.4340000000000002
1805-02-01,Chicago,0.096
1805-03-01,Chicago,4.426
1805-04-01,Chicago,7.684
1805-05-01,Chicago,12.001
1805-06-01,Chicago,18.248
1805-07-01,Chicago,22.646
1805-08-01,Chicago,24.157
1805-09-01,Chicago,19.603
1805-10-01,Chicago,10.925
1805-11-01,Chicago,5.574
1805-12-01,Chicago,3.584
1806-01-01,Chicago,-0.609
1806-02-01,Chicago,1.119
1806-03-01,Chicago,1.81
1806-04-01,Chicago,6.187
1806-05-01,Chicago,12.367
1806-06-01,Chicago,17.373
1806-07-01,Chicago,21.483
1806-08-01,Chicago,22.722
1806-09-01,Chicago,19.319000000000003
1806-10-01,Chicago,11.866
1806-11-01,Chicago,6.037999999999999
1806-12-01,Chicago,1.466
1807-01-01,Chicago,-2.3
1807-02-01,Chicago,-0.104
1807-03-01,Chicago,2.122
1807-04-01,Chicago,6.08
1807-05-01,Chicago,10.238
1807-06-01,Chicago,17.165
1807-07-01,Chicago,22.358
1807-08-01,Chicago,22.868
1807-09-01,Chicago,18.688
1807-10-01,Chicago,12.462
1807-11-01,Chicago,5.734999999999999
1807-12-01,Chicago,3.248
1808-01-01,Chicago,-0.624
1808-02-01,Chicago,0.027
1808-03-01,Chicago,2.904
1808-04-01,Chicago,6.747000000000001
1808-05-01,Chicago,10.380999999999998
1808-06-01,Chicago,18.248
1808-07-01,Chicago,22.431
1808-08-01,Chicago,21.402
1808-09-01,Chicago,18.984
1808-10-01,Chicago,11.578
1808-11-01,Chicago,6.071999999999999
1808-12-01,Chicago,-0.068
1809-01-01,Chicago,-3.5810000000000004
1809-02-01,Chicago,-1.9130000000000005
